file_name,duration_of_speech,count_of_speech,speech_timestamps,mean_speach_duration,duration_of_silence,count_of_silence,silence_timestamps,mean_silence_duration
N-0941-RAT-1-bike.wav,32.9,4,"[{'start': 3.5, 'end': 17.6}, {'start': 19.5, 'end': 28.5}, {'start': 29.5, 'end': 33.8}, {'start': 34.8, 'end': 40.3}]",8.225,7.399999999999999,5,"[{'start': 0, 'end': 3.5}, {'start': 17.6, 'end': 1.8999999999999986}, {'start': 28.5, 'end': 1.0}, {'start': 33.8, 'end': 1.0}, {'start': 40.3, 'end': 0.0}]",1.4799999999999998
N-0995-RAT-1-bike.wav,33.599999999999994,8,"[{'start': 2.3, 'end': 5.8}, {'start': 6.9, 'end': 12.2}, {'start': 13.6, 'end': 14.5}, {'start': 17.3, 'end': 23.4}, {'start': 24.5, 'end': 26.8}, {'start': 29.4, 'end': 30.2}, {'start': 31.3, 'end': 40.4}, {'start': 41.7, 'end': 47.3}]",4.199999999999999,14.860000000000007,9,"[{'start': 0, 'end': 2.3}, {'start': 5.8, 'end': 1.1000000000000005}, {'start': 12.2, 'end': 1.4000000000000004}, {'start': 14.5, 'end': 2.8000000000000007}, {'start': 23.4, 'end': 1.1000000000000014}, {'start': 26.8, 'end': 2.599999999999998}, {'start': 30.2, 'end': 1.1000000000000014}, {'start': 40.4, 'end': 1.3000000000000043}, {'start': 47.3, 'end': 1.1600000000000037}]",1.6511111111111119
N-1011-RAT-1-robb.wav,19.499999999999993,10,"[{'start': 5.3, 'end': 9.1}, {'start': 10.5, 'end': 12.1}, {'start': 13.6, 'end': 14.2}, {'start': 16.5, 'end': 17.9}, {'start': 18.9, 'end': 21.0}, {'start': 22.1, 'end': 24.3}, {'start': 26.1, 'end': 26.9}, {'start': 28.6, 'end': 31.7}, {'start': 32.9, 'end': 35.8}, {'start': 38.3, 'end': 39.3}]",1.9499999999999993,19.800000000000004,11,"[{'start': 0, 'end': 5.3}, {'start': 9.1, 'end': 1.4000000000000004}, {'start': 12.1, 'end': 1.5}, {'start': 14.2, 'end': 2.3000000000000007}, {'start': 17.9, 'end': 1.0}, {'start': 21.0, 'end': 1.1000000000000014}, {'start': 24.3, 'end': 1.8000000000000007}, {'start': 26.9, 'end': 1.7000000000000028}, {'start': 31.7, 'end': 1.1999999999999993}, {'start': 35.8, 'end': 2.5}, {'start': 39.3, 'end': 0.0}]",1.8000000000000005
N-0982-RAT-1-robb.wav,32.480000000000004,3,"[{'start': 2.8, 'end': 4.1}, {'start': 5.6, 'end': 23.2}, {'start': 25.0, 'end': 38.58}]",10.826666666666668,6.099999999999994,4,"[{'start': 0, 'end': 2.8}, {'start': 4.1, 'end': 1.5}, {'start': 23.2, 'end': 1.8000000000000007}, {'start': 38.58, 'end': 0.0}]",1.5249999999999986
N-1006-RAT-1-bike.wav,50.9,3,"[{'start': 1.4, 'end': 26.4}, {'start': 27.5, 'end': 52.2}, {'start': 53.2, 'end': 54.4}]",16.966666666666665,5.700000000000003,4,"[{'start': 0, 'end': 1.4}, {'start': 26.4, 'end': 1.1000000000000014}, {'start': 52.2, 'end': 1.0}, {'start': 54.4, 'end': 2.200000000000003}]",1.4250000000000007
N-0993-RAT-1-robb.wav,38.0,4,"[{'start': 2.5, 'end': 20.5}, {'start': 22.0, 'end': 36.4}, {'start': 39.9, 'end': 44.7}, {'start': 46.1, 'end': 46.9}]",9.5,10.700000000000003,5,"[{'start': 0, 'end': 2.5}, {'start': 20.5, 'end': 1.5}, {'start': 36.4, 'end': 3.5}, {'start': 44.7, 'end': 1.3999999999999986}, {'start': 46.9, 'end': 1.8000000000000043}]",2.1400000000000006
N-0933-RAT-1-bike.wav,31.500000000000004,7,"[{'start': 4.6, 'end': 7.2}, {'start': 9.1, 'end': 13.8}, {'start': 16.5, 'end': 18.6}, {'start': 21.6, 'end': 23.6}, {'start': 26.6, 'end': 34.6}, {'start': 35.8, 'end': 41.1}, {'start': 48.1, 'end': 54.9}]",4.500000000000001,26.52,8,"[{'start': 0, 'end': 4.6}, {'start': 7.2, 'end': 1.8999999999999995}, {'start': 13.8, 'end': 2.6999999999999993}, {'start': 18.6, 'end': 3.0}, {'start': 23.6, 'end': 3.0}, {'start': 34.6, 'end': 1.1999999999999957}, {'start': 41.1, 'end': 7.0}, {'start': 54.9, 'end': 3.1200000000000045}]",3.315
N-1013-RAT-1-bike.wav,28.2,1,"[{'start': 3.6, 'end': 31.8}]",28.2,4.900000000000002,2,"[{'start': 0, 'end': 3.6}, {'start': 31.8, 'end': 1.3000000000000007}]",2.450000000000001
N-0969-RAT-1-robb.wav,15.56,7,"[{'start': 4.5, 'end': 8.6}, {'start': 11.0, 'end': 15.5}, {'start': 16.8, 'end': 19.3}, {'start': 22.4, 'end': 23.5}, {'start': 26.1, 'end': 27.1}, {'start': 28.8, 'end': 30.0}, {'start': 31.8, 'end': 32.96}]",2.222857142857143,17.4,8,"[{'start': 0, 'end': 4.5}, {'start': 8.6, 'end': 2.4000000000000004}, {'start': 15.5, 'end': 1.3000000000000007}, {'start': 19.3, 'end': 3.099999999999998}, {'start': 23.5, 'end': 2.6000000000000014}, {'start': 27.1, 'end': 1.6999999999999993}, {'start': 30.0, 'end': 1.8000000000000007}, {'start': 32.96, 'end': 0.0}]",2.175
N-0988-RAT-1-robb.wav,113.98000000000002,12,"[{'start': 7.4, 'end': 8.7}, {'start': 9.7, 'end': 18.5}, {'start': 21.9, 'end': 23.7}, {'start': 24.8, 'end': 29.6}, {'start': 31.0, 'end': 37.9}, {'start': 39.3, 'end': 53.2}, {'start': 55.6, 'end': 64.8}, {'start': 67.1, 'end': 88.0}, {'start': 89.2, 'end': 97.2}, {'start': 101.3, 'end': 104.3}, {'start': 105.6, 'end': 109.3}, {'start': 112.5, 'end': 144.18}]",9.498333333333335,30.19999999999999,13,"[{'start': 0, 'end': 7.4}, {'start': 8.7, 'end': 1.0}, {'start': 18.5, 'end': 3.3999999999999986}, {'start': 23.7, 'end': 1.1000000000000014}, {'start': 29.6, 'end': 1.3999999999999986}, {'start': 37.9, 'end': 1.3999999999999986}, {'start': 53.2, 'end': 2.3999999999999986}, {'start': 64.8, 'end': 2.299999999999997}, {'start': 88.0, 'end': 1.2000000000000028}, {'start': 97.2, 'end': 4.099999999999994}, {'start': 104.3, 'end': 1.2999999999999972}, {'start': 109.3, 'end': 3.200000000000003}, {'start': 144.18, 'end': 0.0}]",2.3230769230769224
N-0970-RAT-1-bike.wav,105.80000000000001,7,"[{'start': 2.2, 'end': 35.5}, {'start': 36.6, 'end': 41.7}, {'start': 44.7, 'end': 52.7}, {'start': 54.1, 'end': 58.2}, {'start': 60.4, 'end': 76.9}, {'start': 79.1, 'end': 88.5}, {'start': 90.0, 'end': 119.4}]",15.114285714285716,13.639999999999986,8,"[{'start': 0, 'end': 2.2}, {'start': 35.5, 'end': 1.1000000000000014}, {'start': 41.7, 'end': 3.0}, {'start': 52.7, 'end': 1.3999999999999986}, {'start': 58.2, 'end': 2.1999999999999957}, {'start': 76.9, 'end': 2.1999999999999886}, {'start': 88.5, 'end': 1.5}, {'start': 119.4, 'end': 0.03999999999999204}]",1.7049999999999983
N-0993-RAT-1-bike.wav,30.200000000000003,4,"[{'start': 4.0, 'end': 8.3}, {'start': 9.3, 'end': 19.2}, {'start': 20.8, 'end': 29.1}, {'start': 30.9, 'end': 38.6}]",7.550000000000001,12.719999999999999,5,"[{'start': 0, 'end': 4.0}, {'start': 8.3, 'end': 1.0}, {'start': 19.2, 'end': 1.6000000000000014}, {'start': 29.1, 'end': 1.7999999999999972}, {'start': 38.6, 'end': 4.32}]",2.5439999999999996
N-0986-RAT-1-robb.wav,15.879999999999999,3,"[{'start': 1.7, 'end': 4.1}, {'start': 5.6, 'end': 18.0}, {'start': 19.3, 'end': 20.38}]",5.293333333333333,4.5,4,"[{'start': 0, 'end': 1.7}, {'start': 4.1, 'end': 1.5}, {'start': 18.0, 'end': 1.3000000000000007}, {'start': 20.38, 'end': 0.0}]",1.125
